NAME;CONSOLE;DATE;QTY (80% great 70% good 50% ok 30% bad 0% awful);GENRE;DEVELOPER;PUBLISHER
[Advance Wars];[gba];;great;turn_based_strategy;Intelligent Systems;[Nintendo]
