GAME_TITLE,CONSOLE_NUM,DATE_FIRST_RELEASED,GAME_SERIES,ID,CUSTOM,CUSTOM_NAME,REMAKE_RMSTR_RRLSE,REMAKE_RMSTR_RRLSE NAME,REGION,DIRECT_SEQUEL
Bahamt Lagoon,02,,,00106,,,,,,
Balloon Fight,01,198501,BALLOON_FIGHT,00107,,,,,,
Balloon Fight GB,10,200007,BALLOON_FIGHT,00108,,,,,,
Balloon Kid,09,199010,BALLOON_FIGHT,00109,,,,,,
Band Hero,05,,,00110,,,,,,
Band Hero,07,,,00111,,,,,,
Banjo-Kazooie,03,,,00112,,,,,,
Banjo-Kazooie: Grunty's Revenge,08,,,00113,,,,,,
Banjo-Pilot,08,,,00114,,,,,,
Banjo-Tooie,03,,,00115,,,,,,
Barker Bill's Trick Shooting,01,199008,,00116,,,,,,
Baseball,01,,,00117,,,,,,
Baseball,09,,,00118,,,,,,
Baten Kaitos Origins,04,,,00119,,,,,,
Baten Kaitos: Eternal Wings and the Lost Ocean,04,,,00120,,,,,,
Batman: Arkham Origins Blackgate,11,,,00121,,,,,,
Battalion Wars,04,,WARS,00122,,,,,,
Battalion Wars 2,05,,WARS,00123,,,,,,
Battle Clash,02,199210,BATTLE_CLASH,00124,,,,,,
Battletoads,09,,,00125,,,,,,
Battletoads & Double Dragon,02,,,00126,,,,,,
Battletoads in Battlemaniacs,02,,,00127,,,,,,
Beyond Good & Evil,04,,,00128,,,,,,
Big Brain Academy,07,200506,BIG_BRAIN_ACADEMY,00129,,,,,,
Big Brain Academy: Brain vs. Brain,17,202112,BIG_BRAIN_ACADEMY,00130,,,,,,
Big Brain Academy: Wii Degree,05,200704,BIG_BRAIN_ACADEMY,00131,,,,,,
Billy Hatcher and the Giant Egg,04,,,00132,,,,,,
Binding of Isaac: Rebirth,11,,,00133,,,,,,
Bionic Commando,01,,,00134,,,,,,
Bionic Commando,09,,,00135,,,,,,
Bionic Commando: Elite Forces,10,,,00136,,,,,,
Bit.Trip Complete,05,,,00137,,,,,,
Bit.Trip Saga,11,,,00138,,,,,,
Blast Corps,03,,,00139,,,,,,
Blaster Master Zero,11,,,00140,,,,,,
Blaster Master: Enemy Below,10,,,00141,,,,,,
BlazBlue: Clone Phantasma,11,,,00142,,,,,,
BlazBlue: Continuum Shift II,11,,,00143,,,,,,
Blood of Bahamut,07,,,00144,,,,,,
Bloodstained: Curse of the Moon,11,,,00145,,,,,,
Blue Dragon Plus,07,,,00146,,,,,,
Blue Dragon: Awakened Shadow,07,,,00147,,,,,,
Body Harvest,03,,,00148,,,,,,
