Title of Game,System,Date (First Released),Series,Version,Regions,Direct Sequel,Developer,Publisher,Genre,Alternative Names
GoldenEye 007,NIN - DS,201011,GoldenEye,Remake,,,,,,
GoldenEye 007,NIN - WII,201011,GoldenEye,Remake,,,,,,
Golf,NIN - NES,198405,NES Sports,,,,,,,
Golf,NIN - GB,198911,NES Sports,,,,,,,
Golf,NIN - VB,,,,,,,,,
Gradius,NIN - NES,,,,,,,,,
Gradius Galaxies,NIN - GBA,,,,,,,,,
Gradius III,NIN - SNES,,,,,,,,,
Gradius: The Interstellar Assault,NIN - GB,,,,,,,,,
Gran Turismo,SON - PS1,,,,,,,,,
Gran Turismo 2,SON - PS1,,,,,,,,,
Grand Theft Auto,NIN - GBC,,,,,,,,,
Grand Theft Auto 2,NIN - GBC,,,,,,,,,
Grand Theft Auto Advance,NIN - GBA,,,,,,,,,
Grand Theft Auto: Chinatown Wars,NIN - DS,,,,,,,,,
Grandia,SON - PS1,,,,,,,,,
Guilty Gear,SON - PS1,,,,,,,,,
Guilty Gear Dust Strikers,NIN - DS,,,,,,,,,
Guilty Gear X: Advance Edition,NIN - GBA,,,,,,,,,
Guilty Gear XX Accent Core,NIN - WII,200707,Guilty Gear,,,,,,,
Guitar Hero: On Tour,NIN - DS,,,,,,,,,
Gumshoe,NIN - NES,,,,,,,,,
Gunman Clive,NIN - 3DS,,,,,,,,,
Gunman Clive 2,NIN - 3DS,,,,,,,,,
Gunstar Super Heroes,NIN - GBA,,,,,,,,,
Gyromite,NIN - NES,,,,,,,,,
Hamtaro: Ham-Ham Games,NIN - GBA,,,,,,,,,
Hamtaro: Ham-Ham Heartbreak,NIN - GBA,,,,,,,,,
Hamtaro: Ham-Hams Unite!,NIN - GBC,,,,,,,,,
Hamtaro: Rainbow Rescue,NIN - GBA,20030523,Hamtaro,,jp-eu,,AlphaDream/Graphic Research,Nintendo,,
Hamtaro: Tomodachi Daisakusen Dechu,NIN - GBC,,,,,,,,,
HarmoKnight,NIN - 3DS,,,,,,,,,
Harvest Moon,NIN - SNES,199608,Story of Seasons,,,,,,,
Harvest Moon 2 GBC,NIN - GBC,199908,Story of Seasons,,,,,,,
Harvest Moon 3 GBC,NIN - GBC,,,,,,,,,
Harvest Moon 64,NIN - N64,199902,Story of Seasons,,,,,,,
Harvest Moon DS,NIN - DS,,,,,,,,,
Harvest Moon DS Cute,NIN - DS,,,,,,,,,
Harvest Moon DS: Grand Bazaar,NIN - DS,,,,,,,,,
Harvest Moon DS: Island of Happiness,NIN - DS,,,,,,,,,
Harvest Moon DS: Sunshine Islands,NIN - DS,,,,,,,,,
Harvest Moon DS: The Tale of Two Towns,NIN - DS,,,,,,,,,
Harvest Moon GB,NIN - GB,199712,Story of Seasons,,,,,,,
Harvest Moon GBC,NIN - GBC,199812,Story of Seasons,RERELEASE,,,,,,
Harvest Moon: A New Beginning,NIN - 3DS,,,,,,,,,
Harvest Moon: A Wonderful Life,NIN - GCN,,,,,,,,,
Harvest Moon: Animal Parade,NIN - WII,200810,Story of Seasons,,,,,,,
Harvest Moon: Another Wonderful Life,NIN - GCN,,,,,,,,,
Harvest Moon: Back To Nature,SON - PS1,199912,Story of Seasons,,,,,,,
Harvest Moon: Back To Nature (PSP),SON - PSP,200511,Story of Seasons,,,,,,,
Harvest Moon: Frantic Farming,NIN - DS,,,,,,,,,
Harvest Moon: Friends of Mineral Town,NIN - GBA,,,,,,,,,
Harvest Moon: Magical Melody,NIN - WII,200804,Story of Seasons,,,,,,,
Harvest Moon: Magical Melody,NIN - GCN,,,,,,,,,
Harvest Moon: More Friends of Mineral Town,NIN - GBA,,,,,,,,,
Harvest Moon: Skytree Village,NIN - 3DS,,,,,,,,,
Harvest Moon: The Lost Valley,NIN - 3DS,,,,,,,,,
Harvest Moon: The Tale of Two Towns,NIN - 3DS,,,,,,,,,
Harvest Moon: The Tale of Two Towns+,NIN - 3DS,,,,,,,,,
Harvest Moon: Tree of Tranquility,NIN - WII,200706,Story of Seasons,,,,,,,
Hatris,NIN - NES,,,,,,,,,
Hatsune Miku and Future Stars: Project Mirai,NIN - 3DS,,,,,,,,,
Hatsune Miku: Project Mirai 2,NIN - 3DS,,,,,,,,,
Haunted Castle,ARC,,Castlevania,,,,,,,
Heroes of Mana,NIN - DS,200703,Mana,,,,,,,
Heroes of Ruin,NIN - 3DS,,,,,,,,,
Hexen,NIN - N64,,,,,,,,,
Hey You Pikachu,NIN - N64,199812,Pokemon,,,,,,,
Hey! Pikmin,NIN - 3DS,,,,,,,,,
Hi Hamtaro! Little Hamsters Big Adventure,NIN - DS,20070315,Hamtaro,,jp-na-eu,,AlphaDream,Marvelous Interactive (JP)/505 Games (EU)/Natsume (NA),,
Hitman 2: Silent Assassin,NIN - GCN,,,,,,,,,
Hogan's Alley,NIN - NES,,,,,,,,,
Hogwarts Legacy,MIC - WIN,20230210,Harry Potter,,ww,,Avalanche Software,Warner Bros. Games,,
Hogwarts Legacy,MIC - XSXS,20230210,Harry Potter,,ww,,Avalanche Software,Warner Bros. Games,,
Hogwarts Legacy,SON - PS5,20230210,Harry Potter,,ww,,Avalanche Software,Warner Bros. Games,,
Hogwarts Legacy,MIC - XB1,20230404,Harry Potter,Port,ww,,Avalanche Software,Warner Bros. Games,,
Hogwarts Legacy,SON - PS4,20230404,Harry Potter,Port,ww,,Avalanche Software,Warner Bros. Games,,
Hogwarts Legacy,NIN - SWI,20230725,Harry Potter,Port,ww,,Avalanche Software,Warner Bros. Games,,
Hollow Knight,MIC - WIN,201702,Hollow Knight,,,,,,,
Hollow Knight,NIN - SWI,201806,Hollow Knight,,,,,,,
Hollow Knight,MIC - XB1,201809,Hollow Knight,,,,,,,
Hollow Knight,SON - PS4,201809,Hollow Knight,,,,,,,
Hollow Knight: Silksong,MIC - WIN,2023????,Hollow Knight,,ww,,Team Cherry,Team Cherry,,
Hollow Knight: Silksong,MIC - XB1,2023????,Hollow Knight,,ww,,Team Cherry,Team Cherry,,
Hollow Knight: Silksong,MIC - XSXS,2023????,Hollow Knight,,ww,,Team Cherry,Team Cherry,,
Hollow Knight: Silksong,NIN - SWI,2023????,Hollow Knight,,ww,,Team Cherry,Team Cherry,,
Hollow Knight: Silksong,SON - PS4,2023????,Hollow Knight,,ww,,Team Cherry,Team Cherry,,
Hollow Knight: Silksong,SON - PS5,2023????,Hollow Knight,,ww,,Team Cherry,Team Cherry,,
Hometown Story,NIN - 3DS,,,,,,,,,
Hot Shots Golf,SON - PS1,,,,,,,,,
Hot Shots Golf 2,SON - PS1,,,,,,,,,
Hotel Dusk: Room 215,NIN - DS,200701,Hotel Dusk,,,,,,,
Hyrule Warriors,NIN - WIIU,201408,Zelda,,,,,,,
Hyrule Warriors Legends,NIN - 3DS,201601,Zelda,RERELEASE,,,,,,
Hyrule Warriors: Age of Calamity,NIN - SWI,202011,Zelda,,,,,,,
Hyrule Warriors: Definitive Edition,NIN - SWI,201803,Zelda,RERELEASE,,,,,,
Ice Climber,NIN - NES,,,,,,,,,
Ice Hockey,NIN - NES,,,,,,,,,
Ikachan,NIN - 3DS,,,,,,,,,
Ikaruga,NIN - GCN,,,,,,,,,
Illusion of Gaia,NIN - SNES,,,,,,,,,
Innsmouth no Yakata,NIN - VB,,,,,,,,,
Izuna 2: The Unemployed Ninja Returns,NIN - DS,,,,,,,,,
Izuna: Legend of the Unemployed Ninja,NIN - DS,,,,,,,,,
Jack Bros,NIN - VB,199509,Megami Tensei,,,,,,,
Jet Force Gemini,NIN - N64,199910,,,,,,,,
Jet Grind Radio,NIN - GBA,,,,,,,,,
Joe & Mac,NIN - GB,,,,,,,,,
Joe & Mac,NIN - NES,,,,,,,,,
Joe & Mac,NIN - SNES,,,,,,,,,
Joe & Mac 2: Lost in the Tropics,NIN - SNES,,,,,,,,,
Just Dance,NIN - WII,200911,Just Dance,,,,,,,
Just Dance 2,NIN - WII,201010,Just Dance,,,,,,,
Just Dance 2014,NIN - WII,201310,Just Dance,,,,,,,
Just Dance 2015,NIN - WII,201410,Just Dance,,,,,,,
Just Dance 2016,NIN - WII,201510,Just Dance,,,,,,,
Just Dance 2017,NIN - WII,201610,Just Dance,,,,,,,
Just Dance 2018,NIN - WII,201710,Just Dance,,,,,,,
Just Dance 2019,NIN - WII,201810,Just Dance,,,,,,,
Just Dance 2020,NIN - WII,201911,Just Dance,,,,,,,
Just Dance 3,NIN - WII,201110,Just Dance,,,,,,,
Just Dance 4,NIN - WII,201210,Just Dance,,,,,,,
Kaizo Mario 64,NIN - N64,200912,Mario (Hacks),HACK,,,,,,
Kemono Friends Picross,NIN - SWI,20181004,Picross (Jupiter)/KEMONO_FRIENDS,,ww,,Jupiter,Jupiter,,
Kid Chameleon,SEG - GEN,199203??,,,jp-na-eu,,Sega Technical Institute,Sega,,
Kid Dracula,NIN - GB,,Castlevania,,,,,,,
Kid Icarus,NIN - NES,198612,Kid Icarus,,,,,,,
Kid Icarus: Of Myths and Monsters,NIN - GB,199111,Kid Icarus,,,,,,,
Kid Icarus: Uprising,NIN - 3DS,201203,Kid Icarus,,,,,,,
Killer Instinct,NIN - GB,,,,,,,,,
Killer Instinct,NIN - SNES,,,,,,,,,
Killer Instinct Gold,NIN - N64,,,,,,,,,
Killer7,NIN - GCN,,,,,,,,,
Kingdom Hearts 358/2 Days,NIN - DS,,,,,,,,,
Kingdom Hearts 3D: Dream Drop Distance,NIN - 3DS,,,,,,,,,
Kingdom Hearts Re:coded,NIN - DS,,,,,,,,,
Kingdom Hearts: Chain of Memories,NIN - GBA,,,,,,,,,
King's Field,SON - PS1,,,,,,,,,
King's Field II,SON - PS1,,,,,,,,,
King's Field III,SON - PS1,,,,,,,,,
Kirby 64: The Crystal Shards,NIN - N64,200003,Kirby,,,,,,,
Kirby Air Ride,NIN - GCN,200307,Kirby,,,,,,,
Kirby and the Amazing Mirror,NIN - GBA,200404,Kirby,,,,,,,
Kirby and the Forgotten Land,NIN - SWI,202203,Kirby,,,,,,,
Kirby and the Rainbow Curse,NIN - WIIU,201501,Kirby,,,,,,,
Kirby Battle Royale,NIN - 3DS,201711,Kirby,,,,,,,
Kirby Canvas Curse,NIN - DS,200503,Kirby,,,,,,,
Kirby Fighters 2,NIN - SWI,202009,Kirby,,,,,,,
Kirby Fighters Deluxe,NIN - 3DS,,Kirby,,,,,,,
Kirby Mass Attack,NIN - DS,201108,Kirby,,,,,,,
Kirby Nightmare in Dream Land,NIN - GBA,200210,Kirby,Remake,,,,,,
Kirby no Kirakira Kizzu,NIN - SNES,,Kirby,,,,,,,
Kirby Planet Robobot,NIN - 3DS,201604,Kirby,,,,,,,
Kirby Squeak Squad,NIN - DS,200611,Kirby,,,,,,,
Kirby Star Allies,NIN - SWI,201803,Kirby,,,,,,,
Kirby Super Star,NIN - SNES,199603,Kirby,,,,,,,
Kirby Super Star Ultra,NIN - DS,200809,Kirby,Remake,,,,,,
Kirby Tilt 'n' Tumble,NIN - GBC,200008,Kirby,,,,,,,
Kirby Triple Deluxe,NIN - 3DS,201401,Kirby,,,,,,,
Kirby's Adventure,NIN - NES,199303,Kirby,,,,,,,
Kirby's Avalanche,NIN - SNES,199502,Kirby,,,,,,,
Kirby's Block Ball,NIN - GB,199512,Kirby,,,,,,,
Kirby's Blowout Blast,NIN - 3DS,,Kirby,,,,,,,
Kirby's Dream Buffet,NIN - SWI,202208,Kirby,,,,,,,
Kirby's Dream Collection,NIN - WII,201207,Kirby,,,,,,,
Kirby's Dream Course,NIN - SNES,199409,Kirby,,,,,,,
Kirby's Dream Land,NIN - GB,199204,Kirby,,,,,,,
Kirby's Dream Land 2,NIN - GB,199503,Kirby,,,,,,,
Kirby's Dream Land 3,NIN - SNES,199803,Kirby,,,,,,,
Kirby's Epic Yarn,NIN - WII,201010,Kirby,,,,,,,
Kirby's Extra Epic Yarn,NIN - 3DS,201903,Kirby,Remaster,,,,,,
Kirby's Pinball Land,NIN - GB,199311,Kirby,,,,,,,
Kirby's Return to Dream Land,NIN - WII,201110,Kirby,,,,,,,
Kirby's Return to Dream Land Deluxe,NIN - SWI,20230224,Kirby,Remake,ww,,HAL Laboratory,Nintendo,,
Kirby's Star Stacker,NIN - GB,199707,Kirby,,,,,,,
Kirby's Toy Box,NIN - STV,199602,Kirby,,jp,,,,,
Klonoa,NIN - WII,200812,Klonoa,,,,,,,
Klonoa 2: Dream Champ Tournament,NIN - GBA,,Klonoa,,,,,,,
Klonoa 2: Lunatea's Veil,SON - PS2,,Klonoa,,,,,,,
Klonoa Beach Volleyball,SON - PS1,,Klonoa,,,,,,,
Klonoa Heroes: Densetsu no Star Medal,NIN - GBA,,Klonoa,,,,,,,
Klonoa Phantasy Reverie Series,MIC - WIN,,Klonoa,,,,,,,
Klonoa Phantasy Reverie Series,MIC - XB1,,Klonoa,,,,,,,
Klonoa Phantasy Reverie Series,MIC - XSXS,,Klonoa,,,,,,,
Klonoa Phantasy Reverie Series,NIN - SWI,,Klonoa,,,,,,,
Klonoa Phantasy Reverie Series,SON - PS4,,Klonoa,,,,,,,
Klonoa Phantasy Reverie Series,SON - PS5,,Klonoa,,,,,,,
Klonoa: Door to Phantomile,SON - PS1,,Klonoa,,,,,,,
Klonoa: Empire of Dreams,NIN - GBA,,Klonoa,,,,,,,
Klonoa: Moonlight Museum,BAN - WS,,Klonoa,,,,,,,
Knuckles' Chaotix,SEG - 32X,,Sonic,,,,,,,
Konami Krazy Racers,NIN - GBA,,,,,,,,,
Koto Battle: Tengai no Moribito,NIN - GBC,20010309,,,jp,,AlphaDream,AlphaDream,,
Kung Fu,NIN - NES,,,,,,,,,
Kurohyo 2: Ryu ga Gotoku Ashura hen,SON - PSP,20120322,Like a Dragon,,jp,,Ryu Ga Gotoku Studio/Syn Sophia,Sega,Action-Adventure,
Kurohyo: Ryu ga Gotoku Shinsho,SON - PSP,20100922,Like a Dragon,,jp,,Ryu Ga Gotoku Studio/Syn Sophia,Sega,Action-Adventure,
Kuru Kuru Kururin,NIN - GBA,200103,Kururin,,,,,,,
Kururin Paradise,NIN - GBA,200205,Kururin,,jp,,,,,
Kururin Squash,NIN - GCN,200406,Kururin,,jp,,,,,
Last Window: The Secret of Cape West,NIN - DS,201001,Hotel Dusk,,,,,,,
Layton's Mystery Journey: KatMC,NIN - 3DS,,,,,,,,,
Learn with Pokemon: Typing Adventure,NIN - DS,,,,,,,,,
Legacy of Kain: Blood Omen,SON - PS1,,,,,,,,,
Legacy of Kain: Soul Reaver,SON - PS1,,,,,,,,,
Legend of Mana,SON - PS1,199907,Mana,,,,,,,
Legend of Mana,MIC - WIN,202106,Mana,,,,,,,
Legend of Mana,NIN - SWI,202106,Mana,,,,,,,
Legend of Mana,SON - PS4,202106,Mana,,,,,,,
Lego Batman 2: DC Super Heroes,NIN - 3DS,,,,,,,,,
Lego Batman 2: DC Super Heroes,NIN - WII,,,,,,,,,
Lego Batman 3: Beyond Gotham,NIN - 3DS,,,,,,,,,
Lego Batman: The Video Game,NIN - DS,,,,,,,,,
Lego Batman: The Videogame,NIN - WII,,,,,,,,,
Lego City Undercover: The Chase Begins,NIN - 3DS,,,,,,,,,
Lego Harry Potter: Years 1-4,NIN - WII,201006,,,,,,,,
Lego Harry Potter: Years 1-4,NIN - DS,,,,,,,,,
Lego Harry Potter: Years 5-7,NIN - WII,201111,,,,,,,,
Lego Harry Potter: Years 5-7,NIN - 3DS,,,,,,,,,
Lego Harry Potter: Years 5-7,NIN - DS,,,,,,,,,
Lego Indiana Jones 2: The Adventure Continues,NIN - DS,,,,,,,,,
Lego Indiana Jones 2: The Adventure Continues,NIN - WII,,,,,,,,,
Lego Indiana Jones: The Original Adventures,NIN - DS,,,,,,,,,
Lego Indiana Jones: The Original Adventures,NIN - WII,,,,,,,,,
Lego Star Wars II: The Original Trilogy,NIN - DS,,,,,,,,,
Lego Star Wars II: The Original Trilogy,NIN - GBA,,,,,,,,,
Lego Star Wars III: The Clone Wars,NIN - 3DS,,,,,,,,,
Lego Star Wars III: The Clone Wars,NIN - DS,,,,,,,,,
Lego Star Wars III: The Clone Wars,NIN - WII,,,,,,,,,
Lego Star Wars: The Complete Saga,NIN - DS,,,,,,,,,
Lego Star Wars: The Complete Saga,NIN - WII,,,,,,,,,
Lego Star Wars: The Video Game,NIN - GBA,,,,,,,,,
Life Force,NIN - NES,,,,,,,,,
Lightning Returns: Final Fantasy XIII,MIC - X360,201311,Final Fantasy,,,,,,,
Lightning Returns: Final Fantasy XIII,SON - PS3,201311,Final Fantasy,,,,,,,
Lightning Returns: Final Fantasy XIII,MIC - WIN,201512,Final Fantasy,,,,,,,
Like a Dragon 8,MIC - WIN,2024????,Like a Dragon,,ww,Yakuza: Like a Dragon,?,?,,
Like a Dragon 8,MIC - XB1,2024????,Like a Dragon,,ww,Yakuza: Like a Dragon,?,?,,
Like a Dragon 8,MIC - XSXS,2024????,Like a Dragon,,ww,Yakuza: Like a Dragon,?,?,,
Like a Dragon 8,SON - PS4,2024????,Like a Dragon,,ww,Yakuza: Like a Dragon,?,?,,
Like a Dragon 8,SON - PS5,2024????,Like a Dragon,,ww,Yakuza: Like a Dragon,?,?,,
Like a Dragon Gaiden: The Man Who Erased His Name,MIC - WIN,2023????,Like a Dragon,,ww,,?,?,,
Like a Dragon Gaiden: The Man Who Erased His Name,MIC - XB1,2023????,Like a Dragon,,ww,,?,?,,
Like a Dragon Gaiden: The Man Who Erased His Name,MIC - XSXS,2023????,Like a Dragon,,ww,,?,?,,
Like a Dragon Gaiden: The Man Who Erased His Name,SON - PS4,2023????,Like a Dragon,,ww,,?,?,,
Like a Dragon Gaiden: The Man Who Erased His Name,SON - PS5,2023????,Like a Dragon,,ww,,?,?,,
Like a Dragon: Ishin!,MIC - WIN,20230221,Like a Dragon,Remake,ww,,Ryu Ga Gotoku Studio,Sega,,
Like a Dragon: Ishin!,MIC - XB1,20230221,Like a Dragon,Remake,ww,,Ryu Ga Gotoku Studio,Sega,,
Like a Dragon: Ishin!,MIC - XSXS,20230221,Like a Dragon,Remake,ww,,Ryu Ga Gotoku Studio,Sega,,
Like a Dragon: Ishin!,SON - PS4,20230221,Like a Dragon,Remake,ww,,Ryu Ga Gotoku Studio,Sega,,
Like a Dragon: Ishin!,SON - PS5,20230221,Like a Dragon,Remake,ww,,Ryu Ga Gotoku Studio,Sega,,
Link: The Faces of Evil,PHI - CDI,199310,Zelda,,,,,,,
Link's Crossbow Training,NIN - WII,200711,Zelda,,,,,,,
Little King's Story,NIN - WII,,,,,,,,,
Live a Live,NIN - SNES,,,,,,,,,
Lost in Blue,NIN - DS,,,,,,,,,
Lost in Blue 2,NIN - DS,,,,,,,,,
Lost in Blue 3,NIN - DS,,,,,,,,,
Lost in Blue: Shipwrecked,NIN - WII,,,,,,,,,
Lovely Planet,APP - MAC,20140731,,,ww,,Quicktequila,tinyBuild,,
Lovely Planet,LIN - LIN,20140731,,,ww,,Quicktequila,tinyBuild,,
Lovely Planet,MIC - WIN,20140731,,,ww,,Quicktequila,tinyBuild,,
Lovely Planet,MIC - XB1,20160108,,Port,ww,,Quicktequila,tinyBuild,,
Lovely Planet,NIN - WIIU,20160405,,Port,na-eu,,Quicktequila,tinyBuild,,
Lovely Planet,SON - PS4,20160405,,Port,ww,,Quicktequila,tinyBuild,,
Lufia & the Fortress of Doom,NIN - SNES,,,,,,,,,
Lufia II: Rise of the Sinistrals,NIN - SNES,,,,,,,,,
Lufia: Curse of the Sinistrals,NIN - DS,,,,,,,,,
Lufia: The Legend Returns,NIN - GBC,,,,,,,,,
Luigi's Mansion,NIN - GCN,200109,Luigi,,,,,,,
Luigi's Mansion,NIN - 3DS,201810,Luigi,Remake,,,,,,
Luigi's Mansion 3,NIN - SWI,201910,Luigi,,,,,,,
Luigi's Mansion: Dark Moon,NIN - 3DS,201303,Luigi,,,,,,,
Luminous Arc,NIN - DS,,,,,,,,,
Luminous Arc 2,NIN - DS,,,,,,,,,
Luminous Arc 3,NIN - DS,,,,,,,,,
Lunar Knights,NIN - DS,200611,Boktai,,,,,,,
M&M's Adventure,NIN - WII,,,,,,,,,
M&M's Beach Party,NIN - WII,,,,,,,,,
M&M's Kart Racing,NIN - DS,,,,,,,,,
M&M's Kart Racing,NIN - WII,,,,,,,,,
Mach Rider,NIN - NES,,,,,,,,,
MadWorld,NIN - WII,,,,,,,,,
Majin Tensei,NIN - SNES,,,,,,,,,
Majin Tensei II: Spiral Nemesis,NIN - SNES,,,,,,,,,
Manhunt 2,NIN - WII,,,,,,,,,
Mario & Luigi: Bowser's Inside Story,NIN - DS,20090211,Mario RPGs,,ww,,AlphaDream,Nintendo,,
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,NIN - 3DS,20181227,Mario RPGs,Remake,ww,,AlphaDream/Arzest,Nintendo,,
Mario & Luigi: Dream Team,NIN - 3DS,20130712,Mario RPGs,,ww,,AlphaDream,Nintendo,,
Mario & Luigi: Paper Jam,NIN - 3DS,20151203,Mario RPGs,,ww,,AlphaDream,Nintendo,,
Mario & Luigi: Partners in Time,NIN - DS,20051128,Mario RPGs,,ww,,AlphaDream,Nintendo,,
Mario & Luigi: Superstar Saga,NIN - GBA,20031117,Mario RPGs,,ww,,AlphaDream,Nintendo,,
Mario & Luigi: Superstar Saga + Bowser's Minions,NIN - 3DS,20171005,Mario RPGs,Remake,ww,,AlphaDream,Nintendo,,
Mario & Sonic at the London 2012 Olympic Games,NIN - WII,201111,Mario and Sonic,,,,,,,
Mario & Sonic at the London 2012 Olympic Games,NIN - 3DS,201202,Mario and Sonic,,,,,,,
Mario & Sonic at the Olympic Games,NIN - WII,200711,Mario and Sonic,,,,,,,
Mario & Sonic at the Olympic Games,NIN - DS,200801,Mario and Sonic,,,,,,,
Mario & Sonic at the Olympic Games Tokyo 2020,NIN - SWI,201911,Mario and Sonic,,,,,,,
Mario & Sonic at the Olympic Winter Games,NIN - DS,200910,Mario and Sonic,,,,,,,
Mario & Sonic at the Olympic Winter Games,NIN - WII,200910,Mario and Sonic,,,,,,,
Mario & Sonic at the Rio 2016 Olympic Games,NIN - 3DS,201602,Mario and Sonic,,,,,,,
Mario & Sonic at the Rio 2016 Olympic Games,NIN - WIIU,201606,Mario and Sonic,,,,,,,
Mario & Sonic at the Sochi 2014 Olympic Winter Games,NIN - WIIU,201311,Mario and Sonic,,,,,,,
Mario & Wario,NIN - SNES,,,,,,,,,
Mario + Rabbids Kingdom Battle,NIN - SWI,201708,Rabbids,,,,,,,
Mario + Rabbids Sparks of Hope,NIN - SWI,202210,Rabbids,,,,,,,
Mario and Donkey Kong: Minis on the Move,NIN - 3DS,201305,Mario vs. DK,,,,,,,
Mario Bros.,NIN - NES,,,,,,,,,
Mario Clash,NIN - VB,,,,,,,,,
Mario Golf,NIN - N64,199906,Mario Sports,,,,,,,
Mario Golf,NIN - GBC,199908,Mario Sports,,,,,,,
Mario Golf: Advance Tour,NIN - GBA,200404,Mario Sports,,,,,,,
Mario Golf: Super Rush,NIN - SWI,202106,Mario Sports,,,,,,,
Mario Golf: Toadstool Tour,NIN - GCN,200307,Mario Sports,,,,,,,
Mario Golf: World Tour,NIN - 3DS,201405,Mario Sports,,,,,,,
Mario Hoops 3-on-3,NIN - DS,,,,,,,,,
Mario is Missing!,NIN - SNES,,,,,,,,,
Mario Kart 64,NIN - N64,199612,Mario Kart,,,,,,,
Mario Kart 7,NIN - 3DS,201112,Mario Kart,,,,,,,
Mario Kart 8,NIN - WIIU,201405,Mario Kart,,,,,,,
Mario Kart 8 Deluxe,NIN - SWI,201704,Mario Kart,RERELEASE,,,,,,
Mario Kart DS,NIN - DS,200511,Mario Kart,,,,,,,
Mario Kart Wii,NIN - WII,200804,Mario Kart,,,,,,,
Mario Kart: Double Dash,NIN - GCN,200311,Mario Kart,,,,,,,
Mario Kart: Super Circuit,NIN - GBA,200107,Mario Kart,,,,,,,
Mario no Photopi,NIN - N64,,,,,,,,,
Mario no Super Picross,NIN - SNES,,,,,,,,,
Mario Paint,NIN - SNES,,,,,,,,,
Mario Party,NIN - N64,199812,Mario Party,,,,,,,
Mario Party 10,NIN - WIIU,201503,Mario Party,,,,,,,
Mario Party 2,NIN - N64,199912,Mario Party,,,,,,,
Mario Party 3,NIN - N64,200012,Mario Party,,,,,,,
Mario Party 4,NIN - GCN,200210,Mario Party,,,,,,,
Mario Party 5,NIN - GCN,200311,Mario Party,,,,,,,
Mario Party 6,NIN - GCN,200411,Mario Party,,,,,,,
Mario Party 7,NIN - GCN,200511,Mario Party,,,,,,,
Mario Party 8,NIN - WII,200705,Mario Party,,,,,,,
Mario Party 9,NIN - WII,201203,Mario Party,,,,,,,
Mario Party Advance,NIN - GBA,200501,Mario Party,,,,,,,
Mario Party DS,NIN - DS,200711,Mario Party,,,,,,,
Mario Party Superstars,NIN - SWI,202110,Mario Party,,,,,,,
Mario Party: Island Tour,NIN - 3DS,201311,Mario Party,,,,,,,
Mario Party: Star Rush,NIN - 3DS,201610,Mario Party,,,,,,,
Mario Party: The Top 100,NIN - 3DS,201711,Mario Party,,,,,,,
Mario Pinball Land,NIN - GBA,,,,,,,,,
Mario Power Tennis,NIN - GCN,200410,Mario Sports,,,,,,,
Mario Sports Mix,NIN - WII,201011,Mario Sports,,,,,,,
Mario Sports Superstars,NIN - 3DS,,,,,,,,,
Mario Strikers Charged,NIN - WII,200705,Mario Sports,,,,,,,
Mario Strikers: Battle League,NIN - SWI,202206,Mario Sports,,,,,,,
Mario Super Sluggers,NIN - WII,200806,Mario Sports,,,,,,,
Mario Superstar Baseball,NIN - GCN,200507,Mario Sports,,,,,,,
Mario Tennis,NIN - N64,200007,Mario Sports,,,,,,,
Mario Tennis,NIN - GBC,200011,Mario Sports,,,,,,,
Mario Tennis Aces,NIN - SWI,201806,Mario Sports,,,,,,,
Mario Tennis Open,NIN - 3DS,201205,Mario Sports,,,,,,,
Mario Tennis: Power Tour,NIN - GBA,200509,Mario Sports,,,,,,,
Mario Tennis: Ultra Smash,NIN - WIIU,201511,Mario Sports,,,,,,,
Mario vs. Donkey Kong,NIN - GBA,200405,Mario vs. DK,,,,,,,
Mario vs. Donkey Kong 2: March of the Minis,NIN - DS,200609,Mario vs. DK,,,,,,,
Mario vs. Donkey Kong: Mini-Land Mayhem!,NIN - DS,201011,Mario vs. DK,,,,,,,
Mario vs. Donkey Kong: Minis March Again!,NIN - DSIW,200906,Mario vs. DK,,,,,,,
Mario vs. Donkey Kong: Tipping Stars,NIN - 3DS,201503,Mario vs. DK,,,,,,,
Mario's Early Years! Fun with Letters,NIN - SNES,,,,,,,,,
Mario's Early Years! Fun with Numbers,NIN - SNES,,,,,,,,,
Mario's Early Years! Preschool Fun,NIN - SNES,,,,,,,,,
Mario's Picross,NIN - GB,,,,,,,,,
Mario's Tennis,NIN - VB,199507,Mario Sports,,,,,,,
Mario's Time Machine,NIN - SNES,,,,,,,,,
Max Payne,NIN - GBA,,,,,,,,,
MediEvil,SON - PS1,,,,,,,,,
MediEvil 2,SON - PS1,,,,,,,,,
Mega Man,NIN - NES,198712,,,,,,,,
Mega Man & Bass,NIN - GBA,,,,,,,,,
Mega Man 2,NIN - NES,198812,,,,,,,,
Mega Man 3,NIN - NES,199009,,,,,,,,
Mega Man 4,NIN - NES,199112,,,,,,,,
Mega Man 5,NIN - NES,199212,,,,,,,,
Mega Man 6,NIN - NES,199311,,,,,,,,
Mega Man 64,NIN - N64,,,,,,,,,
Mega Man 7,NIN - SNES,,,,,,,,,
Mega Man 8,SON - PS1,,,,,,,,,
Mega Man Anniversary Collection,NIN - GCN,,,,,,,,,
Mega Man Battle Chip Challenge,NIN - GBA,,,,,,,,,
Mega Man Battle Network,NIN - GBA,,,,,,,,,
Mega Man Battle Network 2,NIN - GBA,,,,,,,,,
